Rank,Name,Year,Publisher,Global_Sales_Millions
10863,Rosco McQueen: Firefighter Extreme,1997,Sony Computer Entertainment,0.09
10864,Terranigma,1995,Nintendo,0.09
10885,Bleach: Heat the Soul,2005,Sony Computer Entertainment,0.09
10908,echochrome,2008,Sony Computer Entertainment,0.09
10917,Ninja Gaiden Black,2005,Microsoft Game Studios,0.09
10920,Bogey: Dead 6,1996,Sony Computer Entertainment,0.09
10925,Brain Age: Concentration Training,2012,Nintendo,0.09
10964,Wild ARMs: Alter Code F,2003,Sony Computer Entertainment,0.09
10969,SingStar: Made In Germany,2009,Sony Computer Entertainment,0.09
10972,Rapid Reload,1995,Sony Computer Entertainment,0.09
10994,Pokemon Rumble World,2015,Nintendo,0.09
11012,Disney Art Academy,2016,Nintendo,0.09
11018,Ghosthunter,2003,Sony Computer Entertainment,0.09
11046,Ratchet & Clank Future: Quest for Booty,2008,Sony Computer Entertainment,0.09
11053,Inazuma Eleven 3,2013,Nintendo,0.09
11060,Porsche Challenge,1997,Sony Computer Entertainment,0.09
11072,Bleach: Heat the Soul 6,2009,Sony Computer Entertainment,0.09
11088,Blood: The Last Vampire (Joukan),2000,Sony Computer Entertainment,0.09
11118,Kurikin: Nano Island Story,2007,Nintendo,0.09
11149,Age of Mythology,2002,Microsoft Game Studios,0.09
11189,Rollcage Stage II,2000,Sony Computer Entertainment,0.09
11193,Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,2006,Nintendo,0.09
11236,Walt Disney's The Jungle Book: Rhythm N'Groove,2000,Sony Computer Entertainment,0.09
11238,Just Dance Wii U,2014,Nintendo,0.09
11265,Beat Sketch!,2010,Sony Computer Entertainment,0.08
11268,Bleach: Heat the Soul 5,2008,Sony Computer Entertainment,0.08
11273,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,2004,Nintendo,0.08
11284,Famicom Mini: Mario Bros.,2004,Nintendo,0.08
11357,Blades of Blood: Samurai Shodown III,1995,Sony Computer Entertainment,0.08
11368,Forbidden Siren 2,2006,Sony Computer Entertainment,0.08
11455,Final Fantasy VI,1999,Sony Computer Entertainment,0.08
11511,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,2004,Nintendo,0.08
11512,NBA 10: The Inside,2009,Sony Computer Entertainment,0.08
11516,Famicom Mini: Star Soldier,2004,Nintendo,0.08
11531,A-Train,1995,Sony Computer Entertainment,0.08
11537,Bleach: Erabareshi Tamashii,2005,Sony Computer Entertainment,0.08
11542,Looney Tunes: Galactic Sports,2015,Sony Computer Entertainment,0.08
11589,Bleach: Heat the Soul 4,2007,Sony Computer Entertainment,0.08
11595,Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,2007,Sony Computer Entertainment,0.08
11596,Ape Escape: Pumped & Primed,2004,Sony Computer Entertainment,0.08
11615,Bleach: Heat the Soul 7,2010,Sony Computer Entertainment,0.08
11660,Stuart Little 3: Big Photo Adventure,2005,Sony Computer Entertainment,0.08
11693,World Tour Soccer 06,2006,Sony Computer Entertainment,0.08
11700,Minna no Joushiki Ryoku TV,2008,Nintendo,0.08
11702,WipEout HD Fury,2009,Sony Computer Entertainment,0.08
11722,Disaster: Day of Crisis,2008,Nintendo,0.08
11747,Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,2010,Sony Computer Entertainment,0.07
11761,Famicom Mini: Hikari Shinwa: Palutena no Kagami,2004,Nintendo,0.07
11776,Sky Gunner,2001,Sony Computer Entertainment,0.07
11836,Roll Away,1998,Sony Computer Entertainment,0.07
11839,Maximum Chase,2002,Microsoft Game Studios,0.07
11848,Invizimals: The Alliance,2013,Sony Computer Entertainment,0.07
11874,Exhibition Volume 4,2003,Microsoft Game Studios,0.07
11883,Mega Man Battle Network 5: Double Team DS (US sales),2005,Nintendo,0.07
11903,DS Uranai Seikatsu,2009,Nintendo,0.07
11924,Make 10: A Journey of Numbers,2007,Nintendo,0.07
11925,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,2000,Nintendo,0.07
11928,Famicom Mini: Nazo no Murasame-Jou,2004,Nintendo,0.07
11946,Fable: The Lost Chapters,2005,Microsoft Game Studios,0.07
11952,Bleach: Heat the Soul 3,2006,Sony Computer Entertainment,0.07
11974,Microsoft Flight Simulator 2004: A Century of Flight,2003,Microsoft Game Studios,0.07
11992,GunParade Orchestra: Shiro no Shou,2006,Sony Computer Entertainment,0.07
12031,RayStorm,1997,Sony Computer Entertainment,0.07
12056,Xbox Live Arcade Unplugged Volume 1,2006,Microsoft Game Studios,0.07
12071,Famicom Mini: Wrecking Crew,2004,Nintendo,0.07
12080,Motor Toon Grand Prix (Japan),1994,Sony Computer Entertainment,0.07
12089,Lifeline,2003,Sony Computer Entertainment,0.07
12090,Dragon Valor,1999,Sony Computer Entertainment,0.07
12125,Mario Tennis,2010,Nintendo,0.07
12154,Kanji Sonomama DS Rakubiki Jiten,2006,Nintendo,0.07
12179,Age of Empires III: The Asian Dynasties,2007,Microsoft Game Studios,0.07
12180,Destrega,1998,Sony Computer Entertainment,0.07
12194,Sly 2: Band of Thieves,2010,Sony Computer Entertainment,0.07
12208,Bleach: Hanatareshi Yabou,2006,Sony Computer Entertainment,0.07
12213,MotorStorm RC,2012,Sony Computer Entertainment,0.07
12303,Ray Tracers,1997,Sony Computer Entertainment,0.06
12314,Another Code R: A Journey into Lost Memories,2009,Nintendo,0.06
12335,Killer Instinct (2013),2013,Microsoft Game Studios,0.06
12336,Famicom Mini: Balloon Fight,2004,Nintendo,0.06
12341,Ratchet & Clank Collection,2014,Sony Computer Entertainment,0.06
12344,Arc the Lad: End of Darkness,2004,Sony Computer Entertainment,0.06
12359,Osu! Tatakae! Ouendan,2005,Nintendo,0.06
12362,Age of Empires Online,2011,Microsoft Game Studios,0.06
12373,Mega Minis Volume 3,2011,Sony Computer Entertainment,0.06
12375,Mario vs. Donkey Kong: Tipping Stars,2015,Nintendo,0.06
12402,Tecmo Classic Arcade,2005,Microsoft Game Studios,0.06
12428,Devil's Third,2015,Nintendo,0.06
12499,ICO,2011,Sony Computer Entertainment,0.06
12501,Eigo de Tabisuru: Little Charo,2011,Nintendo,0.06
12543,Zoo Tycoon: Complete Collection,2003,Microsoft Game Studios,0.06
12552,Zoo Tycoon 2,2004,Microsoft Game Studios,0.06
12571,Exhibition Volume 5,2004,Microsoft Game Studios,0.06
12586,SingStar Mallorca Party,2009,Sony Computer Entertainment,0.06
12621,Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,2006,Nintendo,0.06
12647,Syphon Filter: Logan's Shadow,2010,Sony Computer Entertainment,0.06
12687,Minna no Sukkiri,2009,Sony Computer Entertainment,0.06
12721,Bleach: Blade Battlers 2nd,2007,Sony Computer Entertainment,0.06
12727,Tsugunai: Atonement,2001,Sony Computer Entertainment,0.06
12742,Broken Sword II: The Smoking Mirror,1997,Sony Computer Entertainment,0.06
12746,Doki-Doki Universe,2013,Sony Computer Entertainment,0.06
12772,Dance Dance Revolution: Mario Mix (JP sales),2005,Nintendo,0.06
12798,Elemental Gearbolt,1997,Sony Computer Entertainment,0.06
12822,MotoGP 4 - Official Game of MotoGP,2005,Sony Computer Entertainment,0.06
12856,Dual Hearts,2002,Sony Computer Entertainment,0.05
12887,Bleach: Blade Battlers,2006,Sony Computer Entertainment,0.05
12888,Rez,2001,Sony Computer Entertainment,0.05
12956,Culdcept Revolt,2016,Nintendo,0.05
13004,Ferrari F355 Challenge,2002,Sony Computer Entertainment,0.05
13023,Microsoft Flight Simulator X Acceleration Expansion Pack,2007,Microsoft Game Studios,0.05
13024,Trick x Logic: Season 1,2010,Sony Computer Entertainment,0.05
13026,Mawashite Tsunageru Touch Panic,2006,Nintendo,0.05
13078,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,2006,Nintendo,0.05
13086,Lips: Deutsche Partyknaller,2009,Microsoft Game Studios,0.05
13090,Philosoma,1995,Sony Computer Entertainment,0.05
13159,Nike+ Kinect Training,2012,Microsoft Game Studios,0.05
13181,Freelancer,2003,Microsoft Game Studios,0.05
13192,QUIZ PARTY,2012,Nintendo,0.05
13238,Finny the Fish & the Seven Waters,2004,Sony Computer Entertainment,0.05
13265,Fatal Frame II: Crimson Butterfly Director's Cut,2004,Microsoft Game Studios,0.05
13312,Kakuto Chojin,2002,Microsoft Game Studios,0.05
13314,Forza Motorsport 3: Ultimate Edition,2010,Microsoft Game Studios,0.05
13316,Wii de Asobu Chibi-Robo!,2009,Nintendo,0.05
13328,Rain (2013),2013,Sony Computer Entertainment,0.05
13331,Microsoft Train Simulator,2001,Microsoft Game Studios,0.05
13379,B-Boy,2006,Sony Computer Entertainment,0.05
13390,Rimo-Cocoron,2001,Sony Computer Entertainment,0.05
13411,Brave Story: New Traveller (jp sales),2006,Sony Computer Entertainment,0.05
13418,Bleach: Soul Carnival,2008,Sony Computer Entertainment,0.05
13427,Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,2006,Nintendo,0.05
13439,Ape Escape,2010,Sony Computer Entertainment,0.05
13493,Sekai no Gohan Shaberu! DS Oryouri Navi,2008,Nintendo,0.04
13509,I.Q. Remix+: Intelligent Qube,2000,Sony Computer Entertainment,0.04
13525,Minna ga Shuyaku no NHK Kouhaku Quiz Kassen,2009,Nintendo,0.04
13534,Doko Demo Issho: Let's Gakkou!,2006,Sony Computer Entertainment,0.04
13619,Hana to Ikimo no Rittai Zukan,2011,Nintendo,0.04
13642,Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,2006,Nintendo,0.04
13671,WTF: Work Time Fun,2005,Sony Computer Entertainment,0.04
13694,Rise of Nations,2003,Microsoft Game Studios,0.04
13760,Saru! Get You! Pipo Saru Senki,2009,Sony Computer Entertainment,0.04
13761,Infamous: First Light,2014,Sony Computer Entertainment,0.04
13798,Famicom Mini: Clu Clu Land,2004,Nintendo,0.04
13810,Shadow of the Colossus,2011,Sony Computer Entertainment,0.04
13886,Halo: Combat Evolved,2003,Microsoft Game Studios,0.04
13889,Famicom Remix Best Choice,2015,Nintendo,0.04
13895,WRC: FIA World Rally Championship,2005,Sony Computer Entertainment,0.04
13942,Aquanaut's Holiday: Kakusareta Kiroku,2008,Sony Computer Entertainment,0.04
13949,Magical Starsign (JP sales),2006,Nintendo,0.04
13999,Formula 1 06,2006,Sony Computer Entertainment,0.04
14003,Age of Mythology: The Titans,2003,Microsoft Game Studios,0.04
14017,Trick x Logic: Season 2,2010,Sony Computer Entertainment,0.04
14059,Monster Kingdom: Jewel Summoner,2006,Sony Computer Entertainment,0.04
14082,MLB 15: The Show,2015,Sony Computer Entertainment,0.04
14161,Rise of Nations: Rise of Legends,2006,Microsoft Game Studios,0.03
14164,Zoo Tycoon,2001,Microsoft Game Studios,0.03
14165,Gacharoku,2002,Sony Computer Entertainment,0.03
14168,MotoGP,2006,Sony Computer Entertainment,0.03
14194,Electroplankton,2005,Nintendo,0.03
14250,Project Gotham Racing 2 (JP weekly sales),2003,Microsoft Game Studios,0.03
14263,Suujin Taisen,2007,Nintendo,0.03
14304,Metroid Prime: Federation Force,2016,Nintendo,0.03
14305,GunGriffon: Allied Strike,2004,Microsoft Game Studios,0.03
14308,Saru! Get You! SaruSaru Daisakusen,2007,Sony Computer Entertainment,0.03
14326,Tork: Prehistoric Punk,2005,Microsoft Game Studios,0.03
14348,SingStar Chartbreaker,2009,Sony Computer Entertainment,0.03
14352,SingStar Fussballhits,2010,Sony Computer Entertainment,0.03
14379,Eyeshield 21: Field Saikyou no Senshi Tachi,2007,Nintendo,0.03
14443,Eyeshield 21: DevilBats DevilDays,2006,Nintendo,0.03
14481,Minna no Golf Jou Vol.1,2007,Sony Computer Entertainment,0.03
14549,Nippon no Asoko de,2008,Sony Computer Entertainment,0.03
14565,Worms,2009,Sony Computer Entertainment,0.03
14576,NBA 08,2007,Sony Computer Entertainment,0.03
14622,Triple Pack: Xbox Live Arcade Compilation,2011,Microsoft Game Studios,0.03
14629,Calcio Bit,2006,Nintendo,0.03
14632,Hyakumanton no Bara Bara,2010,Sony Computer Entertainment,0.03
14635,1000 Cooking Recipes from ELLE à table,2010,Nintendo,0.03
14659,In Cold Blood,2000,Sony Computer Entertainment,0.03
14660,Mega Minis Volume 2,2011,Sony Computer Entertainment,0.03
14707,The Last Guy,2009,Sony Computer Entertainment,0.03
14747,Bleach: Soul Carnival 2,2009,Sony Computer Entertainment,0.03
14790,Hermie Hopperhead: Scrap Panic,1995,Sony Computer Entertainment,0.03
14828,Age of Empires III: Gold Edition,2007,Microsoft Game Studios,0.03
14839,Dungeon Siege II,2005,Microsoft Game Studios,0.03
14911,Derby Time 2006,2006,Sony Computer Entertainment,0.03
14965,Viva Pinata,2007,Microsoft Game Studios,0.02
14971,Teddy Together,2016,Nintendo,0.02
15014,Peter Pan in Disney's Return to Never Land,2002,Sony Computer Entertainment,0.02
15116,Namco Museum Battle Collection (JP sales),2005,Sony Computer Entertainment,0.02
15144,Invizimals: The Lost Kingdom,2013,Sony Computer Entertainment,0.02
15246,GunParade Orchestra: Midori no Shou,2006,Sony Computer Entertainment,0.02
15317,Aquanaut's Holiday,1995,Sony Computer Entertainment,0.02
15389,TalkMan,2006,Sony Computer Entertainment,0.02
15396,Invizimals: The Resistance,2014,Sony Computer Entertainment,0.02
15417,Worms,2007,Microsoft Game Studios,0.02
15462,Coded Soul: Uke Keigareshi Idea,2008,Sony Computer Entertainment,0.02
15636,Combat Flight Simulator 3: Battle for Europe,2002,Microsoft Game Studios,0.02
15675,NBA 07,2006,Sony Computer Entertainment,0.02
15784,Gears of War,2007,Microsoft Game Studios,0.02
15829,Exhibition Volume 6,2004,Microsoft Game Studios,0.02
15846,Otona no Renai Shousetsu: Harlequin Selection,2010,Nintendo,0.02
15932,Minna to Issho,2011,Sony Computer Entertainment,0.02
15936,Enkaku Sousa: Sana e no 23 Hiai,2009,Sony Computer Entertainment,0.02
15994,Donkey Kong Jungle Beat,2008,Nintendo,0.01
16042,GunParade Orchestra: Ao no Shou,2006,Sony Computer Entertainment,0.01
16043,Impossible Creatures,2002,Microsoft Game Studios,0.01
16056,Banjo-Kazooie,2008,Microsoft Game Studios,0.01
16126,Nintendogs and Cats Golden Retriever and New Friends,2011,Nintendo,0.01
16184,Resistance Dual Pack,2011,Sony Computer Entertainment,0.01
16191,Toro to Morimori,2009,Sony Computer Entertainment,0.01
16272,Slide Adventure: Mag Kid,2007,Nintendo,0.01
16328,RalliSport Challenge(JP sales),2002,Microsoft Game Studios,0.01
16335,The Eye of Judgment: Legends,2010,Sony Computer Entertainment,0.01
16360,Mario vs. Donkey Kong: Tipping Stars,2015,Nintendo,0.01
16406,Ratchet & Clank: Full Frontal Assault,2012,Sony Computer Entertainment,0.01
16459,Art Academy: Home Studio,2015,Nintendo,0.01
16476,Captain Rainbow,2008,Nintendo,0.01
16545,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,2015,Nintendo,0.01
16571,XI Coliseum,2006,Sony Computer Entertainment,0.01
